ParishUEID,Diocese,Name,City,State,County,Address,Website,latitude,longitude,Address_Search,Avg_Attendance,Avg_Plate_Pledge,2020_Attendance,2021_Attendance,2022_Attendance,2023_Attendance,2024_Attendance,2020_Plate_Pledge,2021_Plate_Pledge,2022_Plate_Pledge,2023_Plate_Pledge,2024_Plate_Pledge
9471-9457,Central New York,Episcopal Church of the Epiphany,Sherburne,New York,Chenango,"5 Classic St, Sherburne, NY 13460",http://epiphanysherburne.church/,42.67955403,-75.49615987,"Episcopal Church of the Epiphany, 5 Classic St, Sherburne, NY 13460",14,12287.8,15,8,18,19,10,"14,565","11,539","11,128","14,321","9,886"
7109-3850,Central New York,Grace and Holy Spirit Episcopal Church,Cortland,New York,Cortland,"13 Court St, Cortland, NY 13045",https://www.graceandholyspirit.org/,42.59895317,-76.17953009,"Grace and Holy Spirit Episcopal Church, 13 Court St, Cortland, NY 13045",0,0,,,,,,,,,,
6514-5161,Central New York,Church of the Epiphany,Trumansburg,New York,Tompkins,"11 Elm St, Trumansburg, NY 14886",http://epiphanytrumansburg.org/,42.54077642,-76.66063486,"Church of the Epiphany, 11 Elm St, Trumansburg, NY 14886",22.6,41833.2,29,20,20,20,24,"41,096","39,018","45,970","44,416","38,666"
2808-5983,Central New York,Christ Episcopal Church,Willard,New York,Seneca,"1395 Country Road 132, Willard, NY 14521",https://www.christchurchwillardny.com/,42.68198788,-76.87294524,"Christ Episcopal Church, 1395 Country Road 132, Willard, NY 14521",9,12171.6,11,7,7,12,8,"10,975","9,317","14,213","10,724","15,629"
8774-5204,Central New York,United Ministry of Aurora,Aurora,New York,Cayuga,"337 Main St, Aurora, NY 13026",https://www.unitedministryofaurora.org/,42.75239696,-76.70230397,"United Ministry of Aurora, 337 Main St, Aurora, NY 13026",7.2,12004.2,7,7,7,7,8,"14,660",0,0,"23,747","21,614"
9978-2526,Central New York,St Matthew's Church,Moravia,New York,Cayuga,"14 Church St, Moravia, NY 13118",https://www.facebook.com/StMattsMoravia/,42.71031591,-76.4202053,"St Matthews Church, 14 Church St, Moravia, NY 13118",25.6,41618.4,35,26,20,20,27,"48,070","43,926","36,044","38,906","41,146"
3179-1478,Central New York,St Peter's Episcopal Church,Cazenovia,New York,Madison,"12 Mill St, Cazenovia, NY 13035",http://www.stpeterscaz.org/,42.92894989,-75.85325862,"St Peters Episcopal Church, 12 Mill St, Cazenovia, NY 13035",50.8,219307.4,50,39,40,61,64,"190,752","208,554","219,542","223,633","254,056"
3391-7832,Central New York,St Thomas Episcopal Church,Hamilton,New York,Madison,"12 1/2 Madison St, Hamilton, NY 13346",http://www.stthomashamilton.org/,42.82844111,-75.54405899,"St Thomas Episcopal Church, 12 1/2 Madison St, Hamilton, NY 13346",57.6,252921.6,83,53,45,53,54,"210,603","171,450","199,199","196,428","486,928"
3623-5570,Central New York,St Paul's Episcopal Church,Waterloo,New York,Seneca,"101 E Williams St, Waterloo, NY 13165",https://stpaulswaterloony.org/,42.90566231,-76.86004784,"St Pauls Episcopal Church, 101 E Williams St, Waterloo, NY 13165",23.8,54723,35,21,18,25,20,"49,653","64,172","58,436","51,006","50,348"
2846-2562,Central New York,Trinity Episcopal Church,Seneca Falls,New York,Seneca,"27 Fall St, Seneca Falls, NY 13148",https://trinitychurchsenecafallsny.com/,42.91021691,-76.7944536,"Trinity Episcopal Church, 27 Fall St, Seneca Falls, NY 13148",31.8,78039,37,32,28,32,30,"75,429","71,705","71,804","73,967","97,290"
6302-3667,Central New York,Episcopal Church of Sts Peter & John,Auburn,New York,Cayuga,"169 Genesee St, Auburn, NY 13021",http://www.peterandjohnepiscopal.org/,42.92993445,-76.57116602,"Episcopal Church of Sts Peter & John, 169 Genesee St, Auburn, NY 13021",56,110813,58,49,55,61,57,"99,925","113,971","106,345","115,402","118,422"
7676-8514,Central New York,St James' Episcopal Church,Skaneateles,New York,Onondaga,"96 E Genesee St, Skaneateles, NY 13152",https://www.stjamesskan.org/,42.94506481,-76.42528308,"St James Episcopal Church, 96 E Genesee St, Skaneateles, NY 13152",123,419519.8,140,85,112,139,139,"420,480","422,691","466,258","409,747","378,423"
1964-7320,Central New York,St John's Episcopal Church,Marcellus,New York,Onondaga,"15 Orange St, Marcellus, NY 13108https://stjohnsmarcellus.org/",https://www.episcopalchurch.org/,42.98448964,-76.33739891,"St Johns Episcopal Church, 15 Orange St, Marcellus, NY 13108https://stjohnsmarcellus.org/",30.2,60302.2,36,26,28,29,32,"59,355","52,934","66,599","61,815","60,808"
2518-2114,Central New York,St Luke's Episcopal Church,Camillus,New York,Onondaga,"5402 W Genesee St, Camillus, NY 13031",https://www.camillusepiscopal.org/,43.0415416,-76.27581594,"St Lukes Episcopal Church, 5402 W Genesee St, Camillus, NY 13031",34.4,130117.6,52,28,30,30,32,"128,839","140,157","127,843","130,729","123,020"
5328-2125,Central New York,Christ Episcopal Church,Jordan,New York,Onondaga,"25 N Main St, Jordan, NY 13080",http://www.christchurchjordan.org,43.06694246,-76.47519578,"Christ Episcopal Church, 25 N Main St, Jordan, NY 13080",12.6,24290,14,12,12,12,13,"17,365","22,548","22,679","22,520","36,338"
1652-3581,Central New York,St Mark the Evangelist,Syracuse,New York,Onondaga,"1612 W Genesee St, Syracuse, NY 13204",http://www.stmarkssyracuse.com/,43.05269117,-76.1866674,"St Mark the Evangelist, 1612 W Genesee St, Syracuse, NY 13204",32.2,62580.6,39,32,27,29,34,"60,257","55,034","66,366","57,056","74,190"
6826-0769,Central New York,St. Paul's Syracuse,Syracuse,New York,Onondaga,"310 Montgomery St, Syracuse, NY 13202",http://www.stpaulsyr.org/,43.04844011,-76.14976049,"St. Paul's Syracuse, 310 Montgomery St, Syracuse, NY 13202",69.6,146498.2,93,40,75,70,70,"137,863","136,301","147,606","158,239","152,482"
8639-2545,Central New York,Church of the Saviour,Syracuse,New York,Onondaga,"437 James St, Syracuse, NY 13203",http://www.thechurchofthesaviour.org/,43.05325843,-76.14755729,"Church of the Saviour, 437 James St, Syracuse, NY 13203",31.6,32223,29,36,26,36,31,"22,854","31,104","33,192","36,945","37,020"
7476-5371,Central New York,Grace Church,Syracuse,New York,Onondaga,"819 Madison St, Syracuse, NY 13210",http://www.gracesyracuse.org/,43.04560643,-76.13478984,"Grace Church, 819 Madison St, Syracuse, NY 13210",34.4,89929.8,20,29,28,45,50,"83,659","91,176","94,642","85,066","95,106"
7959-0204,Central New York,St Alban's Episcopal Church,Syracuse,New York,Onondaga,"1308 Meadowbrook Dr, Syracuse, NY 13224",http://stalbansyracuse.org/,43.03928102,-76.10745983,"St Albans Episcopal Church, 1308 Meadowbrook Dr, Syracuse, NY 13224",26.8,86923.6,28,32,24,26,24,"83,069","82,220","88,554","83,978","96,797"
3710-2498,Central New York,Dianjit Episcopal Chapel,East Syracuse,New York,Onondaga,"400 W Yates St, East Syracuse, NY 13057",https://www.facebook.com/diangditepichapel/,43.06690737,-76.07822375,"Dianjit Episcopal Chapel, 400 W Yates St, East Syracuse, NY 13057",22.8,3366,36,25,25,3,25,"1,950","1,242","1,242","1,242","11,154"
6195-6389,Central New York,St David's Episcopal Church,Fayetteville,New York,Onondaga,"14 Jamar Dr, Fayetteville, NY 13066",http://www.stdavidscny.org/,43.02765782,-76.05797962,"St Davids Episcopal Church, 14 Jamar Dr, Fayetteville, NY 13066",35.8,117803.6,43,34,34,38,30,"115,586","119,066","120,779","118,994","114,593"
7013-6312,Central New York,Trinity Episcopal Church,Fayetteville,New York,Onondaga,"106 Chapel St, Fayetteville, NY 13066",http://www.trinityfayetteville.org/,43.02922613,-76.00676265,"Trinity Episcopal Church, 106 Chapel St, Fayetteville, NY 13066",100.2,311913.4,141,61,101,107,91,"283,783","296,587","317,335","323,945","337,917"
4501-2143,Central New York,Christ Church,Manlius,New York,Onondaga,"407 E Seneca St, Manlius, NY 13104",https://christchurchmanlius.org/,43.00269291,-75.97484695,"Christ Church, 407 E Seneca St, Manlius, NY 13104",71.2,244029.6,87,53,60,76,80,"241,596","248,881","227,993","235,947","265,731"
5299-4175,Central New York,St Matthew's Episcopal Church,Liverpool,New York,Onondaga,"904 Vine St, Liverpool, NY 13088http://www.stmatthewsliverpool.org/",https://www.episcopalchurch.org/,43.10825867,-76.19933091,"St Matthews Episcopal Church, 904 Vine St, Liverpool, NY 13088http://www.stmatthewsliverpool.org/",95.2,246050.6,134,80,82,91,89,"232,519","265,274","246,744","269,051","216,665"
6027-9155,Central New York,St Paul's Episcopal Church,Chittenango,New York,Madison,"204 Genesee St, Chittenango, NY 13037",http://www.stpaulschittenango.org/,43.04454567,-75.86630567,"St Pauls Episcopal Church, 204 Genesee St, Chittenango, NY 13037",15.8,39933,15,19,18,13,14,"37,579","38,943","42,395","38,138","42,610"
7639-1085,Central New York,Trinity Episcopal Church,Canastota,New York,Madison,"400 S Peterboro St, Canastota, NY 13032",https://www.facebook.com/trinitycanastotany/,43.07257097,-75.75184212,"Trinity Episcopal Church, 400 S Peterboro St, Canastota, NY 13032",8.2,16588.8,10,7,9,8,7,"17,012","22,557","17,089","14,991","11,295"
4614-2493,Central New York,St John's Church,Oneida,New York,Madison,"341 Main St, Oneida, NY 13421",http://www.stjohnsoneida.org/,43.09000318,-75.64829701,"St Johns Church, 341 Main St, Oneida, NY 13421",34.8,71538.2,45,28,32,34,35,"76,050","67,952","63,228","79,763","70,698"
6874-3277,Central New York,Gethsemane Episcopal Church,Sherrill,New York,Oneida,"320 Park St, Sherrill, NY 13461",https://www.facebook.com/geth320/,43.06906408,-75.59835148,"Gethsemane Episcopal Church, 320 Park St, Sherrill, NY 13461",15,32318.2,18,12,12,18,15,"29,934","27,129","33,059","39,124","32,345"
8727-7158,Central New York,St James' Episcopal Church,Clinton,New York,Oneida,"9 Williams St, Clinton, NY 13323",http://stjamesclinton.org/,43.04683475,-75.37843915,"St James Episcopal Church, 9 Williams St, Clinton, NY 13323",37.6,156061.2,53,16,27,44,48,"137,276","160,982","147,397","153,081","181,570"
3931-9199,Central New York,St Stephen's Church,New Hartford,New York,Oneida,"25 Oxford Rd, New Hartford, NY 13413",http://ststephens-newhartford.org/,43.07096799,-75.28643145,"St Stephens Church, 25 Oxford Rd, New Hartford, NY 13413",27.4,35382.2,23,38,23,29,24,"26,797","29,534","37,937","42,893","39,750"
1148-2809,Central New York,Grace Episcopal Church,Utica,New York,Oneida,"6 Elizabeth St, Utica, NY 13501",http://www.gracechurchutica.org,43.10108473,-75.23101,"Grace Episcopal Church, 6 Elizabeth St, Utica, NY 13501",84.6,172718,112,48,86,89,88,"157,565","193,311","171,359","177,019","164,336"
1301-3487,Central New York,St David's Episcopal Church,Barneveld,New York,Oneida,"140 Mappa Ave, Barneveld, NY 13304",http://stdavidsbarneveld.org/,43.27182669,-75.18897905,"St Davids Episcopal Church, 140 Mappa Ave, Barneveld, NY 13304",19,40765.8,21,15,18,21,20,"38,440","35,756","40,543","41,906","47,184"
2242-2885,Central New York,Zion Episcopal Church,Rome,New York,Oneida,"140 W Liberty St, Rome, NY 13440",http://www.zionrome.org/,43.21308999,-75.45801873,"Zion Episcopal Church, 140 W Liberty St, Rome, NY 13440",29.2,62345.6,29,19,26,30,42,"55,262","59,557","67,701","65,391","63,817"
3184-9003,Central New York,Trinity Episcopal Church,Camden,New York,Oneida,"98 Main St, Camden, NY 13316",https://www.facebook.com/trinitycamdenny/,43.33589881,-75.74859118,"Trinity Episcopal Church, 98 Main St, Camden, NY 13316",9.2,36566.2,13,10,10,7,6,"30,605","27,683","33,318","31,225","60,000"
9727-1837,Central New York,Trinity Episcopal Church,Constantia,New York,Oswego,"1492 NY-49, Constantia, NY 13044",https://www.facebook.com/p/Trinity-Episcopal-Constantia-100068906935317/,43.24787666,-76.00741379,"Trinity Episcopal Church, 1492 NY-49, Constantia, NY 13044",10,4038,8,8,10,13,11,"2,697","2,697","4,719","4,756","5,321"
9770-7327,Central New York,Grace Episcopal Church,Baldwinsville,New York,Onondaga,"110 Oswego St, Baldwinsville, NY 13027",http://graceepiscopalbaldwinsville.org/,43.16574141,-76.33730293,"Grace Episcopal Church, 110 Oswego St, Baldwinsville, NY 13027",33.4,105502.2,51,19,27,34,36,"124,239","114,549","88,800","100,611","99,312"
8118-7734,Central New York,All Saints Episcopal Church,Fulton,New York,Oswego,"153 S 1st St, Fulton, NY 13069",http://www.allsaintsfulton.org/,43.32035791,-76.41550046,"All Saints Episcopal Church, 153 S 1st St, Fulton, NY 13069",18.8,40556.4,16,18,17,18,25,34499,41508,36604,45465,44706
9670-7955,Central New York,Church of the Resurrection,Oswego,New York,Oswego,"120 W 5th St, Oswego, NY 13126",http://www.resoswego.org,43.45595754,-76.51615027,"Church of the Resurrection, 120 W 5th St, Oswego, NY 13126",37.2,120448.4,45,26,35,40,40,"115,070","111,612","120,928","125,657","128,975"
9878-9886,Central New York,St James' Episcopal Church,Pulaski,New York,Oswego,"24 Lake St, Pulaski, NY 13142",https://www.stjameschurchpulaski.org,43.56801334,-76.12932005,"St James Episcopal Church, 24 Lake St, Pulaski, NY 13142",29.8,42818.6,28,24,30,34,33,"29,463","42,118","42,740","47,181","52,591"
7348-0519,Central New York,St Mark's Episcopal Church,Port Leyden,New York,Lewis,"6988 West Main Street, Port Leyden, NY 13433",https://www.episcopalchurch.org/,43.5811,-75.34938351,"St Marks Episcopal Church, 6988 West Main Street, Port Leyden, NY 13433",8.4,14144.8,10,7,9,8,8,"2,863","2,803","2,980","3,205","58,873"
4484-4637,Central New York,Emmanuel Episcopal Church,Adams,New York,Jefferson,"40 E Church St, Adams, NY 13605",https://emmanueladams.org/,43.80961199,-76.01970663,"Emmanuel Episcopal Church, 40 E Church St, Adams, NY 13605",28.8,68353.2,27,25,28,32,32,"43,772","62,549","70,096","82,864","82,485"
6977-5948,Central New York,Grace Church,Copenhagen,New York,Lewis,"2939 Cataract St, Copenhagen, NY 13626",https://www.facebook.com/gracecopenhagen,43.8942302,-75.67177637,"Grace Church, 2939 Cataract St, Copenhagen, NY 13626",11,4966.6,16,13,9,7,10,"4,484","7,725","2,778","2,971","6,875"
9430-0688,Central New York,Grace Episcopal Church,Carthage,New York,Jefferson,"421 State St, Carthage, NY 13619",https://www.facebook.com/p/Grace-Episcopal-Church-Carthage-NY-100069659935814/,43.97946505,-75.60827854,"Grace Episcopal Church, 421 State St, Carthage, NY 13619",11.2,14747.8,13,12,12,11,8,"18,336","13,714","13,703","14,405","13,581"
3182-7678,Central New York,St John's Episcopal Church,Black River,New York,Jefferson,"143 W Remington St, Black River, NY 13612",https://episcopalnny.wixsite.com/semnny/our-parishes,44.00732598,-75.79986358,"St Johns Episcopal Church, 143 W Remington St, Black River, NY 13612",10.4,19053,11,9,13,11,8,"19,595","20,722","20,382","18,391","16,175"
7662-1671,Central New York,Trinity Episcopal Church,Watertown,New York,Jefferson,"227 Sherman St, Watertown, NY 13601",http://trinitywatertown.org,43.97338638,-75.91491319,"Trinity Episcopal Church, 227 Sherman St, Watertown, NY 13601",50.4,170877.2,62,42,45,48,55,"160,928","169,004","177,659","171,084","175,711"
2514-9816,Central New York,St John's Church,Cape Vincent,New York,Jefferson,"352 S Market St, Cape Vincent, NY 13618",https://episcopalriverparishes.org,44.12483894,-76.33535818,"St Johns Church, 352 S Market St, Cape Vincent, NY 13618",20.2,32768.2,16,18,21,25,21,"22,947","35,266","30,701","39,030","35,897"
5618-1696,Central New York,Christ Episcopal Church,Clayton,New York,Jefferson,"235 John Street, Clayton, NY 13624",https://www.episcopalriverparishes.org,44.2417786,-76.08706688,"Christ Episcopal Church, 235 John Street, Clayton, NY 13624",35.8,70827.8,46,28,40,35,30,"75,066","80,189","51,534","69,175","78,175"
8026-8071,Central New York,Church of St Lawrence,Alexandria Bay,New York,Jefferson,"7 Fuller St Box 211, Alexandria Bay, NY 13607",https://www.episcopalriverparishes.org/,44.33642637,-75.92120663,"Church of St Lawrence, 7 Fuller St Box 211, Alexandria Bay, NY 13607",17.4,11948.4,7,17,21,21,21,"12,620","14,719","12,462","12,160","7,781"
